Date,Predicted_Price
2025-07-08,109159.52686200477
2025-07-09,109270.78371721879
2025-07-10,111082.03230760526
2025-07-11,112192.45379762724
2025-07-12,112089.65506590903
2025-07-13,112320.53581234906
2025-07-14,112035.31487557292
2025-07-15,112050.35732289776
2025-07-16,112249.7868624311
2025-07-17,112237.38595213648
2025-07-18,112406.56143455021
2025-07-19,112255.40826143138
2025-07-20,112338.74029661156
2025-07-21,112390.08761247993
2025-07-22,112268.95427152235
2025-07-23,112383.99776356295
2025-07-24,112470.49183568079
2025-07-25,112477.60967191495
2025-07-26,112490.08865719568
2025-07-27,112438.92351629492
2025-07-28,112465.91143649537
2025-07-29,112586.74549000617
2025-07-30,112976.39172071125
2025-07-31,113254.9892961653
2025-08-01,112694.35884586815
2025-08-02,112636.9346935805
2025-08-03,112691.3659714004
2025-08-04,112745.01649935916
2025-08-05,112614.98260998446
2025-08-06,112754.21633522306
2025-08-07,112859.37032902241
2025-08-08,113043.52319627255
2025-08-09,112835.57047075499
2025-08-10,112982.5986821074
2025-08-11,113012.9438267108
2025-08-12,113165.67151204962
2025-08-13,113185.71075848583
2025-08-14,113182.01520914305
2025-08-15,113177.9292848697
2025-08-16,113442.10901288781
2025-08-17,113385.77791040577
2025-08-18,113240.29818627797
2025-08-19,113032.05918581132
2025-08-20,113199.50400603283
2025-08-21,113173.67419812642
2025-08-22,113223.34290179331
2025-08-23,113065.76155481767
2025-08-24,113254.29963378794
2025-08-25,113263.13511971664
2025-08-26,113270.51320590451
2025-08-27,113277.08451723587
2025-08-28,113277.94334208313
2025-08-29,113278.984341898
2025-08-30,113279.42676681932
2025-08-31,113279.5438792985
2025-09-01,113279.92124173138
2025-09-02,113279.89521673601
2025-09-03,113280.35065415502
2025-09-04,113280.31161666196
2025-09-05,113280.38969164807
