Date,Predicted_Price
2025-07-09,108464.90319864359
2025-07-10,108598.47034709563
2025-07-11,108421.69344768758
2025-07-12,108160.15864156552
2025-07-13,108131.57976511438
2025-07-14,108292.87594889133
2025-07-15,108370.97852556327
2025-07-16,108410.1484101126
2025-07-17,108420.83614194309
2025-07-18,108482.81041816396
2025-07-19,108244.43193576999
2025-07-20,108370.08857369973
2025-07-21,108481.8225939417
2025-07-22,108212.29946142774
2025-07-23,108348.88372268988
2025-07-24,108215.73068439112
2025-07-25,108434.13310830778
2025-07-26,108351.94733704482
2025-07-27,108377.90961995845
2025-07-28,108394.49845519214
2025-07-29,108407.04535904079
2025-07-30,108227.67881979365
2025-07-31,108443.04764410143
2025-08-01,108682.69613133869
2025-08-02,108813.95323555748
2025-08-03,109479.63155216762
2025-08-04,110205.00552621306
2025-08-05,110828.4174352253
2025-08-06,111285.91484587401
2025-08-07,112093.9926157605
